CS_ID	Keyword_ID	Keyword	Intent_1	Authority
CS_00001		arthritis symptoms	Direct Answer	Expert
CS_00002		what is angiogram procedure	Generic	Expert
CS_00003		shingles causes and cures	Direct Answer	Expert
CS_00004		gas pain in the back	Generic	Expert
CS_00005		a1c average blood sugar	Direct Answer	Expert
CS_00006		diabetic glucose levels chart	Resource	Expert
CS_00007		how does shingles spread	Direct Answer	Expert
CS_00008		stage 5 cancer	Generic	Expert
CS_00009		normal temperature fever	Generic	Expert
CS_00010		high white blood cell cancer	Generic	Expert
CS_00011		itar compliance checklist	Direct Answer	General
CS_00012		edgepark medical supplies	Direct Answer	Expert
CS_00013		cure for sinus drainage	Guide	Expert
CS_00014		severe bad breath causes	Direct Answer	Expert
CS_00015		high enzymes in blood	Generic	Expert
CS_00016		natural cures for eye floaters	Guide	Expert
CS_00017		causes of chronic dry cough	Direct Answer	Expert
CS_00018		names of statins	Direct Answer	Expert
CS_00019		diabetic foot ulcer symptoms	Direct Answer	Expert
CS_00020		homeopathic remedy finder	Direct Answer	Expert
CS_00021		tricare retiree dental program	Navigational	General
CS_00022		diet for fatty liver	Direct Answer	Expert
CS_00023		shingles contagious	Direct Answer	Expert
CS_00024		dandelion root benefits	Direct Answer	Expert
CS_00025		how is glaucoma treated	Guide	Expert
CS_00026		shoulder pain when sleeping	Generic	Expert
CS_00027		cdc influenza fact sheet	Resource	Expert
CS_00028		leiomyosarcoma survival rate	Direct Answer	Expert
CS_00029		beta blocker side effects	Direct Answer	Expert
CS_00030		mold symptoms in humans	Direct Answer	Expert
CS_00031		hla b27 symptoms	Direct Answer	Expert
CS_00032		lower back pain and leg pain	Generic	Expert
CS_00033		enlarged prostate symptom	Direct Answer	Expert
CS_00034		where to buy osmo patch	Transactional	General
CS_00035		pictures of infections	Resource	General
CS_00036		what is low potassium	Generic	Expert
CS_00037		autoimmune hepatitis	Generic	Expert
CS_00038		red spots on skin pictures	Resource	General
CS_00039		laser surgery hemorrhoids	Generic	Expert
CS_00040		home remedies and cures	Guide	Expert
CS_00041		symptoms of uterine fibroids	Direct Answer	Expert
CS_00042		what is a endoscopy	Generic	Expert
CS_00043		colon resection surgery	Generic	Expert
CS_00044		what is endoscopic surgery	Generic	Expert
CS_00045		pictures of stye on eyelid	Resource	General
CS_00046		what is a stent in the heart	Generic	Expert
CS_00047		mayo hospital locations	Direct Answer	General
CS_00048		what is scarlatina rash	Direct Answer	General
CS_00049		falling bladder symptoms	Direct Answer	Expert
CS_00050		how long the flu last	Direct Answer	General
CS_00051		natural remedies for thrush	Direct Answer	Expert
CS_00052		record retention guidelines	Generic	Expert
CS_00053		what causes bleeding	Direct Answer	Expert
CS_00054		prostatectomy side effects	Direct Answer	Expert
CS_00055		what causes a swollen foot	Direct Answer	Expert
CS_00056		sand flea bite pictures	Resource	General
